mx,my,mz
1.15233338,0.64200002,0.06900000
1.15166664,0.64366668,0.06266667
1.15566671,0.64200002,0.06266667
1.15333331,0.64200002,0.06700000
1.15166664,0.64366668,0.07000000
1.15033329,0.64266664,0.06900000
1.15033329,0.64600003,0.06600000
1.15233338,0.63933331,0.06433333
1.15233338,0.64266664,0.06600000
1.15333331,0.64266664,0.06600000
1.15033329,0.64266664,0.06433333
1.14933336,0.64200002,0.06266667
1.15233338,0.64200002,0.06766666
1.15166664,0.63866669,0.07000000
1.14866662,0.64200002,0.06533334
1.14933336,0.63700002,0.06766666
1.15166664,0.63933331,0.06200000
1.15166664,0.63933331,0.06533334
1.15033329,0.64200002,0.06533334
1.15233338,0.63933331,0.06266667
1.15333331,0.64099997,0.06433333
1.15166664,0.63933331,0.06433333
1.14533329,0.64033335,0.06600000
1.15033329,0.64533335,0.06533334
1.14766669,0.64099997,0.06366666
1.14866662,0.64200002,0.06766666
1.15233338,0.64200002,0.06533334
1.14933336,0.64433336,0.06900000
1.15333331,0.64099997,0.06100000
1.15233338,0.63866669,0.06700000
1.15499997,0.64033335,0.07000000
1.15033329,0.64200002,0.06900000
1.15333331,0.63933331,0.06600000
1.15400004,0.63933331,0.06700000
1.14866662,0.64266664,0.06366666
1.15033329,0.64033335,0.06533334
1.14866662,0.64266664,0.06533334
1.15499997,0.63533336,0.06433333
1.15033329,0.64099997,0.06700000
1.14933336,0.64266664,0.06700000
1.14933336,0.63766664,0.06366666
1.15166664,0.63933331,0.06600000
1.15033329,0.64200002,0.06533334
1.15233338,0.64099997,0.06266667
1.14866662,0.63933331,0.06433333
1.15166664,0.63766664,0.06600000
1.14766669,0.63866669,0.06533334
1.15233338,0.64266664,0.06533334
1.15033329,0.64266664,0.06266667
1.14766669,0.64033335,0.06533334
1.15566671,0.63933331,0.06266667
1.14866662,0.63933331,0.06433333
1.14933336,0.63866669,0.06366666
1.15333331,0.63866669,0.06366666
1.15033329,0.64366668,0.06433333
1.15233338,0.63866669,0.06700000
1.15233338,0.64033335,0.06366666
1.15233338,0.64366668,0.06266667
1.15566671,0.64266664,0.06700000
1.15499997,0.63933331,0.06900000
1.15233338,0.63099998,0.06600000
1.14866662,0.63266665,0.07166667
1.14933336,0.61833334,0.06700000
1.14866662,0.61566669,0.06900000
1.14699996,0.61500001,0.06700000
1.14433336,0.61900002,0.06900000
1.14933336,0.62266666,0.06700000
1.14766669,0.62000000,0.07166667
1.15033329,0.62266666,0.07066666
1.14933336,0.61900002,0.07500000
1.15400004,0.62000000,0.07000000
1.15333331,0.62366664,0.07000000
1.15033329,0.62366664,0.07333333
1.15400004,0.62433332,0.07233334
1.15666664,0.63033330,0.07333333
1.16499996,0.63933331,0.07866666
1.16833329,0.64266664,0.09000000
1.17333329,0.64700001,0.09600000
1.18233335,0.65233332,0.10400000
1.18866670,0.66000003,0.11766667
1.19700003,0.66233331,0.12500000
1.20366669,0.66500002,0.14333333
1.20700002,0.67000002,0.14566667
1.21200001,0.68033332,0.16166666
1.21533334,0.68699998,0.16433333
1.21700001,0.69433331,0.17033334
1.21599996,0.70099998,0.17399999
1.21766663,0.71499997,0.18200000
1.22033334,0.72233331,0.19233334
1.22566664,0.72899997,0.20200001
1.22333336,0.73266667,0.21233334
1.22666669,0.73533332,0.22033334
1.22899997,0.73866665,0.22566667
1.22899997,0.73933333,0.23066667
1.23166668,0.74266666,0.23766667
1.23566663,0.75199997,0.23933333
1.22899997,0.75099999,0.24233334
1.23166668,0.75533330,0.25266665
1.23233330,0.76166666,0.25366667
